Bank,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
"HOMEWARD RESIDENTIAL, INC",1736,0,0,0,0
AMER AIRLINES FCU,1724,0,532,532,803
STERLING NB,1685,0,0,0,435
FIRST MARINER BK,1681,0,415,415,415
SHANGHAI CMRL BK SF BR,1680,0,0,0,0
PREMIA MORTGAGE LLC,1678,0,0,0,0
AVON CO-OP BK,1670,0,0,0,0
ROSS MORTGAGE COMPANY,1668,0,0,0,0
DRAPER AND KRAMER MORTGAGE COR,1630,0,0,0,1630
SAINT MARYS CU,1622,0,0,0,0
BARRONS MORTGAGE GROUP,1619,0,0,0,0
"1ST ALLIANCE LENDING, LLC",1607,0,0,0,254
NORTHPOINTE BK,1566,0,641,641,965
HOWARD BK,1557,0,0,0,0
JG WENTWORTH HOME LENDING LLC,1535,0,0,310,310
COMMUNITY CU OF LYNN,1520,0,0,0,0
NEW ENGLAND FCU,1492,0,0,0,0
REDWOOD RESIDENTIAL ACQ,1456,0,0,0,0
THE MONEY SOURCE,1445,0,0,0,356
COLORADO FSB,1430,0,0,0,0
"CONTINENTAL HOME LOANS, INC",1412,0,0,0,0
MARTHA'S VINEYARD SB,1388,0,0,0,0
QUORUM FCU,1378,0,988,1378,1378
WATERSTONE BK,1366,0,0,0,0
CHARLES RIVER BK,1361,0,0,0,0
REGENCY MORTGAGE CORP.,1348,0,0,0,0
CHELSEA BK,1332,0,0,0,150
US MORTGAGE CORPORATION,1264,0,268,268,268
CONGRESSIONAL BK,1263,0,0,0,316
WASHINGTON SVG BK,1260,0,0,0,0
HOMETOWN BK A CO-OP BK,1258,0,0,0,0
MARLBOROUGH SVG BK,1255,0,0,0,0
MASSACHUSETTS INST TECH FC,1250,0,0,0,175
FOXBORO FED SVGS,1238,0,0,0,0
EASTHAMPTON SVG BK,1235,0,871,259,871
NORTH CAMBRIDGE CO-OP BK,1228,0,0,0,0
FFC MORTGAGE CORP,1221,0,0,0,0
NATIONAL BK OF KANSAS CITY,1217,0,0,0,0
UMB BK NA,1217,0,0,0,0
STOUGHTON CO-OP BK,1215,0,0,0,0
MLD MORTGAGE INC.,1208,0,0,0,0
MONSON SVG BK,1207,0,0,0,0
HAVERHILL BK,1201,0,241,241,241
NORTH EASTON SVG BK,1177,0,0,450,450
FALL RIVER FIVE CENTS SVGS BK,1170,0,0,0,0
MORTGAGE LENDERS OF AMERICA,1165,0,0,0,0
DEAN CO-OP BK,1162,0,0,325,325
NORTH BROOKFIELD SVG BK,1161,0,0,0,0
ADVANCIAL FCU,1160,0,0,261,261
MILLBURY SVG BK,1160,0,0,0,0
"SIRVA MORTGAGE, INC.",1136,0,0,486,486
"OCMBC, INC",1127,0,0,0,0
GUARANTY BK,1101,0,0,0,0
SIMSBURY B&TC,1095,0,568,568,568
STEPSTONE MORTGAGE COMPANY,1074,0,391,0,391
ASTORIA BK,1027,0,0,0,0
VANGUARD FUNDING LLC,1027,0,0,0,0
BRIDGEWATER CU,1023,0,0,0,0
CIT BK NA,1007,0,0,0,0
METROPOLITAN HOME MORTGAGE,993,0,0,0,364
GATEWAY FUNDING DIV MTG SVCS,990,0,0,0,0
PENTUCKET BK,980,0,0,0,0
CENTREVILLE BANK,959,0,542,542,542
BMO HARRIS BK NA,950,0,0,0,950
TALMER B&TC,940,0,0,0,0
"AMERICAN EQUITY MORTGAGE, INC",934,0,0,0,0
SERVICE CU,916,0,0,0,0
GUILD MORTGAGE COMPANY,912,0,0,0,0
BAC FL BK,903,0,0,0,0
MAGNOLIA BK,889,0,0,0,285
RAYMOND JAMES BK NA,888,0,535,535,535
DOLLAR BK FSB,880,0,0,0,0
COMPASS BK,879,0,0,0,0
FIRST TECH FCU,859,0,0,0,0
ADMIRALS BK,855,0,0,0,0
CITY NB,853,0,353,353,353
STONEGATE MORTGAGE LLC,835,0,0,0,0
PRIME ALLI BK,825,0,0,0,0
FORT SILL NB,818,0,0,0,0
POLISH NAT CU,817,0,0,0,0
NCB FSB,800,0,0,0,0
MERIDIAN BK,779,0,0,779,779
UMASSFIVE COLLEGE FCU,775,0,0,0,0
WILMINGTON SVG FUND SCTY FSB,766,0,0,0,0
WEYMOUTH BK,765,0,0,44,44
FIRST FED BK OF FL,756,0,0,0,0
BRIDGEVIEW BANK MTG COMP LLC,752,0,0,0,0
LENOX FINANCIAL MORTGAGE CORP,739,0,0,0,0
ACCESS NB,717,0,0,0,0
UBS AG TAMPA BR,715,0,0,0,0
MILITARY FAMILY HOME LOANS,713,0,0,0,260
"LIVE WELL FINANCIAL, INC.",702,0,0,0,0
CHEMUNG CANAL TC,701,0,0,0,0
AMERICAN FEDERAL MORTGAGE COPR,689,0,0,0,0
BANGOR SVG BK,689,0,0,689,689
ARK-LA-TEX FINANCIAL SERVICES,679,0,0,0,0
NBKC BK,667,0,0,0,350
PATHFINDER BK,660,0,660,660,660
BANK FUND STAFF FCU,655,0,0,0,0
SIGNATURE BK NA,650,0,0,0,650
NEW ENGLAND TEAMSTERS FCU,627,0,0,0,400
"NETWORK FUNDING, L.P.",621,0,0,0,0
GORHAM SVG BK,620,0,0,0,0
MIDFIRST BK,585,0,0,0,0
MWABANK,568,0,0,0,0
CHICOPEE SVG BK,560,0,0,0,0
FEARON FINANCIAL LLC,560,0,0,0,0
NEXBANK SSB,560,0,0,0,0
FIRST BK,556,0,0,0,0
UNITED NATIONS FCU,546,0,250,0,250
CAPITAL BANK NA,541,0,0,204,204
MASSMUTUAL FCU,535,0,0,0,0
AMERICAN EQUITY MORTGAGE,531,0,0,0,0
FAMILY FED SVG,530,0,0,0,0
FIRST NB,524,0,0,0,0
EDISON NB,523,0,0,523,523
MIDWEST CMNTY BK,507,0,0,0,0
ST JEANS CU,507,0,0,0,0
MACHIAS SVG BK,505,0,0,0,0
UNITED BANK MORTGAGE CORP,504,0,0,0,0
WESTSTAR MORTGAGE INC,504,0,0,0,0
SALEM CO-OP BK,501,0,0,0,0
SUNTRUST BK,498,0,0,0,0
MARBLEHEAD BK,493,0,0,0,0
MILLBURY FCU,485,0,0,0,0
ROLLSTONE B&T,480,0,0,0,0
NEW ENGLAND REGIONAL MORTGAGE,470,0,470,470,470
NOTRE DAME FCU,455,0,0,0,0
SALISBURY B&TC,451,0,0,0,0
SHREWSBURY FCU,448,0,0,0,0
ALLCOM CU,432,0,0,0,0
BMI FCU,432,0,0,0,0
"CORTRUST MORTGAGE, INC.",417,0,0,0,0
"KELLER MORTGAGE, LLC",417,0,417,417,417
WEI MORTGAGE CORPORATION,417,0,0,0,0
INLAND B&TC,415,0,0,0,0
KANSAS ST BK OF MANHATTAN,413,0,0,0,0
LEE BK,409,0,0,0,409
POLICE FCU,408,0,0,0,0
LIBERTY HOME EQUITY SOLUTIONS,402,0,0,0,0
COMMERCE BK,400,0,0,0,0
ADVANTAGE BK,390,0,390,390,390
"MID AMERICA MORTGAGE, INC",388,0,0,0,0
SEMPER HOME LOANS,383,0,0,0,0
BETHPAGE FCU,380,0,0,0,0
TOP FLITE FINANCIAL,375,0,0,0,0
CONNECTICUT HOME MORTGAGE,373,0,0,373,373
CERTUSBANK NA,370,0,0,0,0
COUNTRY BK FOR SVG,370,0,0,0,0
GA BKG CO,365,0,0,0,0
IDB-IIC FCU,360,0,360,360,360
EQUITABLE CO-OP BK,356,0,0,0,0
REPUBLIC STATE MORTGAGE,355,0,0,0,0
QUAD CITY B&TC,350,0,0,0,0
RBC BK GA NA,350,0,0,0,0
"PRYSMA LENDING GROUP, LLC",345,0,0,0,0
CONNEXUS CU,344,0,0,0,52
UNIFY FINANCIAL CREDIT UNION,343,0,0,0,85
GREAT LAKES CU,335,0,0,0,0
CAMBRIDGE PORTUGUESE CU,330,0,0,0,0
CENT MTG CO D/B/A CENTURY LEND,326,0,326,326,326
PROFICIO BK,326,0,0,0,0
QUONTIC BK FSB,320,0,0,0,0
SECURITYNATIONAL MORTGAGE COMP,319,0,0,0,0
CONTOUR MORTGAGE CORPORATION,308,0,0,0,0
WINGS FNCL CU,304,0,0,0,0
"LONGBRIDGE FINANCIAL, LLC",303,0,0,0,0
DEVON BK,300,0,0,0,0
"URBAN FINANCIAL GROUP, INC.",298,0,0,0,0
FARMERS B&TC,290,0,0,0,0
CNB MORTGAGE COMPANY,288,0,0,0,0
HOMEFIELD CREDIT UNION,281,0,0,0,0
NBT BK NA,280,0,0,0,0
TOWER FCU,280,0,0,0,0
NATIONWIDE ADVANTAGE MORTGAGE,276,0,0,0,0
CLEARVIEW FCU,270,0,0,0,0
GFA FCU,269,0,0,0,0
AMERICAN FINANCE HOUSE LARIBA,266,0,0,0,0
EVERENCE FCU,254,0,0,0,0
BENCHMARK BK,253,0,0,0,0
OPTIMA B&TC,244,0,244,244,244
JAMES B. NUTTER & COMPANY,243,0,0,0,0
REVERSE MORTGAGE FUNDING LLC,238,0,0,0,0
PRIVATE BK OF BUCKHEAD,236,0,236,236,236
NRL FCU,225,0,0,0,0
"MMS MORTGAGE SERVICES, LTD.",218,0,0,0,0
PEOPLES NB,212,0,0,0,0
NESC FCU,204,0,0,0,0
UNIVERSITY ISLAMIC FINANCIAL,191,0,0,0,0
FOUR POINTS FCU,189,0,0,0,0
BANK RHODE ISLAND,180,0,0,0,0
COLONIAL SVG FA,177,0,0,0,0
SOUTHERN MA CU,172,0,0,0,0
CITIZENS NB OF GREATER STL,168,0,0,0,0
STATE DEPT FCU,161,0,0,0,0
THRIVENT FCU,155,0,0,0,0
GERMAN AMER BC,152,0,0,0,0
FIRST CITIZENS FCU,132,0,0,0,0
