panel_name,loan_amount,total_loan
SUBURBAN MORTGAGE CO OF NM,713,94932364
ANDREWS FCU,702,94932364
CHEMUNG CANAL TC,701,94932364
AMERICAN MW BK,699,94932364
BANGOR SVG BK,689,94932364
BETHPAGE FCU,668,94932364
"FM HOME LOANS, LLC",665,94932364
PATHFINDER BK,660,94932364
CENT MTG CO D/B/A CENTURY LEND,653,94932364
SIGNATURE BK NA,650,94932364
NUTMEG ST FNCL CU,640,94932364
COMMONWEALTH UTILITIES EMPL CU,637,94932364
ANHEUSER-BUSCH EMPL CU,633,94932364
GORHAM SVG BK,620,94932364
MORTGAGE SOLUTIONS OF COLORADO,617,94932364
FIRST SVG BK OF PERKASIE,616,94932364
MILLENNIUM BK,615,94932364
JAMES B. NUTTER & COMPANY,612,94932364
SHINHAN BK AMER,600,94932364
VANDERBILT MORTGAGE,596,94932364
